Município;Dose;Total Doses Aplicadas
PRESIDENTE EPITÁCIO;1° DOSE;34983
PRESIDENTE BERNARDES;1° DOSE;14316
PRESIDENTE ALVES;1° DOSE;3656
PRATÂNIA;1° DOSE;5198
PRAIA GRANDE;1° DOSE;313602
PRADÓPOLIS;1° DOSE;16313
PRACINHA;1° DOSE;2945
POTIRENDABA;1° DOSE;15930
POTIM;1° DOSE;20619
PORTO FERREIRA;1° DOSE;49064
PORTO FELIZ;1° DOSE;49362
PORANGABA;1° DOSE;8803
POPULINA;1° DOSE;3994
PONTES GESTAL;1° DOSE;2337
PONTALINDA;1° DOSE;3698
PONTAL;1° DOSE;35646
PONGAÍ;1° DOSE;3191
POMPÉIA;1° DOSE;18806
POLONI;1° DOSE;5531
POÁ;1° DOSE;102557
PLATINA;1° DOSE;2947
PLANALTO;1° DOSE;4154
PITANGUEIRAS;1° DOSE;31001
PIRATININGA;1° DOSE;13133
PIRASSUNUNGA;1° DOSE;65787
PIRAPOZINHO;1° DOSE;22895
PIRAPORA DO BOM JESUS;1° DOSE;17619
PIRANGI;1° DOSE;9869
PIRAJUÍ;1° DOSE;20588
PIRAJU;1° DOSE;27762
PIRACICABA;1° DOSE;369922
PIRACAIA;1° DOSE;26288
PIQUETE;1° DOSE;11663
PIQUEROBI;1° DOSE;3059
PINHALZINHO;1° DOSE;13947
PINDORAMA;1° DOSE;13220
PINDAMONHANGABA;1° DOSE;146117
PILAR DO SUL;1° DOSE;26546
PIEDADE;1° DOSE;50465
PIACATU;1° DOSE;5039
PERUÍBE;1° DOSE;69140
PEREIRAS;1° DOSE;7483
PEREIRA BARRETO;1° DOSE;22514
PENÁPOLIS;1° DOSE;55139
PEDRO DE TOLEDO;1° DOSE;9239
PEDRINHAS PAULISTA;1° DOSE;2718
PEDREIRA;1° DOSE;40998
PEDREGULHO;1° DOSE;15157
PEDRANÓPOLIS;1° DOSE;2608
PEDRA BELA;1° DOSE;6043
PEDERNEIRAS;1° DOSE;39937
PAULO DE FARIA;1° DOSE;7829
PAULISTÂNIA;1° DOSE;1870
PAULÍNIA;1° DOSE;95995
PAULICÉIA;1° DOSE;6812
PATROCÍNIO PAULISTA;1° DOSE;13375
PARISI;1° DOSE;2439
PARIQUERA-AÇU;1° DOSE;18261
PARDINHO;1° DOSE;6671
PARAPUÃ;1° DOSE;9551
PARANAPUÃ;1° DOSE;3856
PARANAPANEMA;1° DOSE;18025
PARAÍSO;1° DOSE;5308
PARAIBUNA;1° DOSE;16088
PARAGUAÇU PAULISTA;1° DOSE;38390
PANORAMA;1° DOSE;13164
PALMITAL;1° DOSE;19473
PALMEIRA D'OESTE;1° DOSE;8389
PALMARES PAULISTA;1° DOSE;8565
PALESTINA;1° DOSE;10233
PACAEMBU;1° DOSE;14471
OUROESTE;1° DOSE;9501
OURO VERDE;1° DOSE;7015
OURINHOS;1° DOSE;95748
OSVALDO CRUZ;1° DOSE;28910
OSCAR BRESSANE;1° DOSE;2374
OSASCO;1° DOSE;680568
ORLÂNDIA;1° DOSE;34775
ORINDIÚVA;1° DOSE;5646
ORIENTE;1° DOSE;5722
ONDA VERDE;1° DOSE;4355
OLÍMPIA;1° DOSE;51628
ÓLEO;1° DOSE;2665
OCAUÇU;1° DOSE;3990
NUPORANGA;1° DOSE;6811
NOVO HORIZONTE;1° DOSE;35118
NOVAIS;1° DOSE;4028
NOVA ODESSA;1° DOSE;51120
NOVA LUZITÂNIA;1° DOSE;2726
NOVA INDEPENDÊNCIA;1° DOSE;4990
NOVA GUATAPORANGA;1° DOSE;2079
NOVA GRANADA;1° DOSE;18016
NOVA EUROPA;1° DOSE;8662
NOVA CASTILHO;1° DOSE;1041
NOVA CANAÃ PAULISTA;1° DOSE;1835
NOVA CAMPINA;1° DOSE;8213
NOVA ALIANÇA;1° DOSE;6407
NIPOÃ;1° DOSE;4526
NHANDEARA;1° DOSE;9327
NEVES PAULISTA;1° DOSE;8656
NAZARÉ PAULISTA;1° DOSE;16892
NATIVIDADE DA SERRA;1° DOSE;6446
NARANDIBA;1° DOSE;4965
NÃO INFORMADO;1° DOSE;134902
NANTES;1° DOSE;2541
MURUTINGA DO SUL;1° DOSE;3560
MOTUCA;1° DOSE;3851
MORUNGABA;1° DOSE;13103
MORRO AGUDO;1° DOSE;25582
MONTEIRO LOBATO;1° DOSE;4152
MONTE MOR;1° DOSE;58491
MONTE CASTELO;1° DOSE;3681
MONTE AZUL PAULISTA;1° DOSE;16747
MONTE APRAZÍVEL;1° DOSE;20232
MONTE ALTO;1° DOSE;43799
MONTE ALEGRE DO SUL;1° DOSE;7127
MONGAGUÁ;1° DOSE;56101
MONÇÕES;1° DOSE;1922
MOMBUCA;1° DOSE;3526
MOGI MIRIM;1° DOSE;85258
MOGI GUAÇU;1° DOSE;133664
MOGI DAS CRUZES;1° DOSE;387703
MOCOCA;1° DOSE;63898
MIRASSOLÂNDIA;1° DOSE;4677
MIRASSOL;1° DOSE;54369
MIRANTE DO PARANAPANEMA;1° DOSE;14918
MIRANDÓPOLIS;1° DOSE;26089
MIRACATU;1° DOSE;18025
MIRA ESTRELA;1° DOSE;2770
MINEIROS DO TIETÊ;1° DOSE;10495
MIGUELÓPOLIS;1° DOSE;18078
MESÓPOLIS;1° DOSE;1985
MERIDIANO;1° DOSE;3911
MENDONÇA;1° DOSE;5748
MAUÁ;1° DOSE;368904
MATÃO;1° DOSE;75728
MARTINÓPOLIS;1° DOSE;23632
MARINÓPOLIS;1° DOSE;1771
MARÍLIA;1° DOSE;215201
MARIÁPOLIS;1° DOSE;3226
MARAPOAMA;1° DOSE;2910
MARACAÍ;1° DOSE;11944
MARABÁ PAULISTA;1° DOSE;4723
MANDURI;1° DOSE;9050
MAIRIPORÃ;1° DOSE;83172
MAIRINQUE;1° DOSE;49973
MAGDA;1° DOSE;2919
MACEDÔNIA;1° DOSE;3568
MACAUBAL;1° DOSE;6910
MACATUBA;1° DOSE;14607
LUTÉCIA;1° DOSE;2464
LUPÉRCIO;1° DOSE;3817
LUIZIÂNIA;1° DOSE;4532
LUÍS ANTÔNIO;1° DOSE;11399
LUCIANÓPOLIS;1° DOSE;2401
LUCÉLIA;1° DOSE;18499
LOUVEIRA;1° DOSE;46338
LOURDES;1° DOSE;2066
LORENA;1° DOSE;76122
LINS;1° DOSE;68407
LINDÓIA;1° DOSE;6498
LIMEIRA;1° DOSE;261208
LENÇÓIS PAULISTA;1° DOSE;59846
LEME;1° DOSE;89301
LAVRINHAS;1° DOSE;5725
LAVÍNIA;1° DOSE;10536
LARANJAL PAULISTA;1° DOSE;26361
LAGOINHA;1° DOSE;5091
JUQUITIBA;1° DOSE;29061
JUQUIÁ;1° DOSE;16155
JUNQUEIRÓPOLIS;1° DOSE;18740
JUNDIAÍ;1° DOSE;391124
JUMIRIM;1° DOSE;3255
JÚLIO MESQUITA;1° DOSE;4045
JOSÉ BONIFÁCIO;1° DOSE;32702
JOÃO RAMALHO;1° DOSE;3969
JOANÓPOLIS;1° DOSE;12446
JERIQUARA;1° DOSE;3336
JAÚ;1° DOSE;119497
JARINU;1° DOSE;32284
JARDINÓPOLIS;1° DOSE;40531
JANDIRA;1° DOSE;105143
JAMBEIRO;1° DOSE;5335
JALES;1° DOSE;44497
JAGUARIÚNA;1° DOSE;53982
JACUPIRANGA;1° DOSE;14491
JACI;1° DOSE;7038
JACAREÍ;1° DOSE;208158
JABOTICABAL;1° DOSE;66713
JABORANDI;1° DOSE;5635
ITUVERAVA;1° DOSE;34291
ITUPEVA;1° DOSE;59984
ITU;1° DOSE;161871
ITOBI;1° DOSE;7098
ITIRAPUÃ;1° DOSE;5650
ITIRAPINA;1° DOSE;15666
ITATINGA;1° DOSE;17543
ITATIBA;1° DOSE;105751
ITARIRI;1° DOSE;13293
ITARARÉ;1° DOSE;41247
ITAQUAQUECETUBA;1° DOSE;320185
ITAPURA;1° DOSE;3742
ITAPUÍ;1° DOSE;12064
ITAPORANGA;1° DOSE;13427
ITÁPOLIS;1° DOSE;36132
ITAPIRAPUÃ PAULISTA;1° DOSE;4045
ITAPIRA;1° DOSE;66920
ITAPEVI;1° DOSE;218975
ITAPEVA;1° DOSE;85759
ITAPETININGA;1° DOSE;144906
ITAPECERICA DA SERRA;1° DOSE;146710
ITAOCA;1° DOSE;3264
ITANHAÉM;1° DOSE;104458
ITAJU;1° DOSE;3253
ITAJOBI;1° DOSE;14857
ITAÍ;1° DOSE;24458
ITABERÁ;1° DOSE;16822
IRAPURU;1° DOSE;7292
IRAPUÃ;1° DOSE;6442
IRACEMÁPOLIS;1° DOSE;19704
IPUÃ;1° DOSE;13428
IPORANGA;1° DOSE;3589
IPIGUÁ;1° DOSE;5448
IPEÚNA;1° DOSE;5891
IPERÓ;1° DOSE;29863
IPAUSSU;1° DOSE;12189
INÚBIA PAULISTA;1° DOSE;3332
INDIAPORÃ;1° DOSE;3780
INDIANA;1° DOSE;4429
INDAIATUBA;1° DOSE;234874
ILHABELA;1° DOSE;35678
ILHA SOLTEIRA;1° DOSE;24031
ILHA COMPRIDA;1° DOSE;12509
IGUAPE;1° DOSE;27124
IGARATÁ;1° DOSE;10182
IGARAPAVA;1° DOSE;24092
IGARAÇU DO TIETÊ;1° DOSE;20905
IEPÊ;1° DOSE;7107
ICÉM;1° DOSE;7016
IBIÚNA;1° DOSE;73216
IBITINGA;1° DOSE;52713
IBIRAREMA;1° DOSE;5966
IBIRÁ;1° DOSE;10843
IBATÉ;1° DOSE;30473
IARAS;1° DOSE;8118
IACRI;1° DOSE;5726
IACANGA;1° DOSE;9918
HORTOLÂNDIA;1° DOSE;206046
HOLAMBRA;1° DOSE;14924
HERCULÂNDIA;1° DOSE;7814
GUZOLÂNDIA;1° DOSE;4159
GUATAPARÁ;1° DOSE;6923
GUARULHOS;1° DOSE;1179371
GUARUJÁ;1° DOSE;283437
GUARIBA;1° DOSE;34621
GUAREÍ;1° DOSE;14471
GUARATINGUETÁ;1° DOSE;106133
GUARAREMA;1° DOSE;29540
GUARARAPES;1° DOSE;28167
GUARANTÃ;1° DOSE;5686
GUARANI D'OESTE;1° DOSE;1904
GUARACI;1° DOSE;9373
GUARAÇAÍ;1° DOSE;6910
GUARÁ;1° DOSE;17412
GUAPIARA;1° DOSE;16308
GUAPIAÇU;1° DOSE;19427
GUAÍRA;1° DOSE;36582
GUAIMBÊ;1° DOSE;4939
GUAIÇARA;1° DOSE;10433
GLICÉRIO;1° DOSE;3998
GETULINA;1° DOSE;9751
GENERAL SALGADO;1° DOSE;9372
GAVIÃO PEIXOTO;1° DOSE;4426
GASTÃO VIDIGAL;1° DOSE;3178
GARÇA;1° DOSE;38390
GÁLIA;1° DOSE;6107
GABRIEL MONTEIRO;1° DOSE;2571
FRANCO DA ROCHA;1° DOSE;140557
FRANCISCO MORATO;1° DOSE;157047
FRANCA;1° DOSE;311981
FLORÍNEA;1° DOSE;4300
FLÓRIDA PAULISTA;1° DOSE;10967
FLOREAL;1° DOSE;2672
FLORA RICA;1° DOSE;1412
FERRAZ DE VASCONCELOS;1° DOSE;149403
FERNÃO;1° DOSE;1618
FERNANDÓPOLIS;1° DOSE;65371
FERNANDO PRESTES;1° DOSE;5419
FARTURA;1° DOSE;14800
EUCLIDES DA CUNHA PAULISTA;1° DOSE;7292
ESTRELA DO NORTE;1° DOSE;2534
ESTRELA D'OESTE;1° DOSE;8075
ESTIVA GERBI;1° DOSE;9971
ESPÍRITO SANTO DO TURVO;1° DOSE;4481
ESPÍRITO SANTO DO PINHAL;1° DOSE;38346
ENGENHEIRO COELHO;1° DOSE;17925
EMILIANÓPOLIS;1° DOSE;2781
EMBU-GUAÇU;1° DOSE;58985
EMBU DAS ARTES;1° DOSE;235251
EMBAÚBA;1° DOSE;2037
ELISIÁRIO;1° DOSE;2891
ELIAS FAUSTO;1° DOSE;16043
ELDORADO;1° DOSE;12394
ECHAPORÃ;1° DOSE;5886
DUMONT;1° DOSE;9221
DUARTINA;1° DOSE;11638
DRACENA;1° DOSE;41337
DOURADO;1° DOSE;8127
DOLCINÓPOLIS;1° DOSE;2263
DOIS CÓRREGOS;1° DOSE;22650
DOBRADA;1° DOSE;7772
DIVINOLÂNDIA;1° DOSE;11245
DIRCE REIS;1° DOSE;1603
DIADEMA;1° DOSE;374875
DESCALVADO;1° DOSE;29977
CUNHA;1° DOSE;19870
CUBATÃO;1° DOSE;100924
CRUZEIRO;1° DOSE;71260
CRUZÁLIA;1° DOSE;1964
CRISTAIS PAULISTA;1° DOSE;8134
CRAVINHOS;1° DOSE;31490
COTIA;1° DOSE;223792
COSMORAMA;1° DOSE;7871
COSMÓPOLIS;1° DOSE;51009
CORUMBATAÍ;1° DOSE;3731
CORONEL MACEDO;1° DOSE;4296
COROADOS;1° DOSE;4951
CORDEIRÓPOLIS;1° DOSE;22494
CONCHAS;1° DOSE;15212
CONCHAL;1° DOSE;26017
COLÔMBIA;1° DOSE;6237
COLINA;1° DOSE;16490
CLEMENTINA;1° DOSE;6450
CHAVANTES;1° DOSE;11022
CHARQUEADA;1° DOSE;14791
CESÁRIO LANGE;1° DOSE;17164
CERQUILHO;1° DOSE;41717
CERQUEIRA CÉSAR;1° DOSE;21284
CEDRAL;1° DOSE;9723
CATIGUÁ;1° DOSE;6709
CATANDUVA;1° DOSE;105208
CASTILHO;1° DOSE;18060
CÁSSIA DOS COQUEIROS;1° DOSE;2592
CASA BRANCA;1° DOSE;26261
CARDOSO;1° DOSE;11005
CARAPICUÍBA;1° DOSE;365354
CARAGUATATUBA;1° DOSE;116850
CAPIVARI;1° DOSE;45866
CAPELA DO ALTO;1° DOSE;21569
CAPÃO BONITO;1° DOSE;42424
CANITAR;1° DOSE;4717
CÂNDIDO RODRIGUES;1° DOSE;2692
CÂNDIDO MOTA;1° DOSE;26885
CANAS;1° DOSE;4086
CANANÉIA;1° DOSE;11877
CAMPOS NOVOS PAULISTA;1° DOSE;4342
CAMPOS DO JORDÃO;1° DOSE;46629
CAMPO LIMPO PAULISTA;1° DOSE;71271
CAMPINAS;1° DOSE;1052420
CAMPINA DO MONTE ALEGRE;1° DOSE;5768
CAJURU;1° DOSE;22291
CAJOBI;1° DOSE;8595
CAJATI;1° DOSE;26409
CAJAMAR;1° DOSE;82961
CAIUÁ;1° DOSE;6929
CAIEIRAS;1° DOSE;85221
CAIABU;1° DOSE;3480
CAFELÂNDIA;1° DOSE;15118
CACONDE;1° DOSE;16725
CACHOEIRA PAULISTA;1° DOSE;27190
CAÇAPAVA;1° DOSE;85149
CABREÚVA;1° DOSE;46069
CABRÁLIA PAULISTA;1° DOSE;3959
BURITIZAL;1° DOSE;3826
BURITAMA;1° DOSE;15500
BURI;1° DOSE;18452
BROTAS;1° DOSE;21716
BRODOWSKI;1° DOSE;22637
BREJO ALEGRE;1° DOSE;2416
BRAÚNA;1° DOSE;4849
BRAGANÇA PAULISTA;1° DOSE;165983
BOTUCATU;1° DOSE;150834
BOREBI;1° DOSE;2364
BORBOREMA;1° DOSE;13381
BORACÉIA;1° DOSE;4428
BORÁ;1° DOSE;909
BOM SUCESSO DE ITARARÉ;1° DOSE;3515
BOM JESUS DOS PERDÕES;1° DOSE;22316
BOITUVA;1° DOSE;53919
BOFETE;1° DOSE;9786
BOCAINA;1° DOSE;10138
BOA ESPERANÇA DO SUL;1° DOSE;12235
BIRITIBA MIRIM;1° DOSE;27348
BIRIGUI;1° DOSE;104572
BILAC;1° DOSE;6861
BERTIOGA;1° DOSE;63554
BERNARDINO DE CAMPOS;1° DOSE;11289
BENTO DE ABREU;1° DOSE;2348
BEBEDOURO;1° DOSE;69165
BAURU;1° DOSE;344432
BATATAIS;1° DOSE;54848
BASTOS;1° DOSE;20416
BARUERI;1° DOSE;269870
BARRINHA;1° DOSE;27895
BARRETOS;1° DOSE;114254
BARRA DO TURVO;1° DOSE;7005
BARRA DO CHAPÉU;1° DOSE;5024
BARRA BONITA;1° DOSE;31613
BARIRI;1° DOSE;27756
BARBOSA;1° DOSE;5911
BARÃO DE ANTONINA;1° DOSE;3299
BANANAL;1° DOSE;9362
BÁLSAMO;1° DOSE;8261
BALBINOS;1° DOSE;4718
BADY BASSITT;1° DOSE;18949
AVARÉ;1° DOSE;84782
AVANHANDAVA;1° DOSE;10699
AVAÍ;1° DOSE;4816
AURIFLAMA;1° DOSE;11959
ATIBAIA;1° DOSE;141365
ASSIS;1° DOSE;90502
ASPÁSIA;1° DOSE;1781
ARUJÁ;1° DOSE;77848
ARTUR NOGUEIRA;1° DOSE;46204
ARIRANHA;1° DOSE;7243
AREIÓPOLIS;1° DOSE;8757
AREIAS;1° DOSE;3463
AREALVA;1° DOSE;7636
ARCO-ÍRIS;1° DOSE;1920
ARARAS;1° DOSE;118257
ARARAQUARA;1° DOSE;219738
ARAPEÍ;1° DOSE;2241
ARANDU;1° DOSE;6075
ARAMINA;1° DOSE;4930
ARAÇOIABA DA SERRA;1° DOSE;29874
ARAÇATUBA;1° DOSE;179260
ARAÇARIGUAMA;1° DOSE;20033
APIAÍ;1° DOSE;22398
APARECIDA D'OESTE;1° DOSE;4078
APARECIDA;1° DOSE;30570
ANHUMAS;1° DOSE;3625
ANHEMBI;1° DOSE;5819
ANGATUBA;1° DOSE;21433
ANDRADINA;1° DOSE;51908
ANALÂNDIA;1° DOSE;4099
AMPARO;1° DOSE;65141
AMÉRICO DE CAMPOS;1° DOSE;5281
AMÉRICO BRASILIENSE;1° DOSE;31627
AMERICANA;1° DOSE;206853
ALVINLÂNDIA;1° DOSE;2721
ÁLVARO DE CARVALHO;1° DOSE;5869
ÁLVARES MACHADO;1° DOSE;22062
ÁLVARES FLORENCE;1° DOSE;3675
ALUMÍNIO;1° DOSE;15718
ALTO ALEGRE;1° DOSE;3632
ALTINÓPOLIS;1° DOSE;15189
ALTAIR;1° DOSE;3220
ALFREDO MARCONDES;1° DOSE;4246
ALAMBARI;1° DOSE;5209
AGUDOS;1° DOSE;35350
ÁGUAS DE SÃO PEDRO;1° DOSE;3808
ÁGUAS DE SANTA BÁRBARA;1° DOSE;5931
ÁGUAS DE LINDÓIA;1° DOSE;17563
ÁGUAS DA PRATA;1° DOSE;7174
AGUAÍ;1° DOSE;30643
ADOLFO;1° DOSE;4189
ADAMANTINA;1° DOSE;31777
